adhesive tape	sticking plaster	
ages	yonks	
allowance	pocket money	
allowance's	pocket money's	
americans	yanks	
anyplace	anywhere	V	
argentina	the argentine	
argentinian	argentine	
argumentative	stroppy	
garbage can's	dustbin's	
garbage can	dustbin	
garbage cans	dustbins	
attorney	barrister	
attorney's	barrister's	
attorneys	barristers	
attorney	solicitor	
attorney's	solicitor's	
attorneys	solicitors	
backpack	rucksack	
balls	bollocks	
band-aid	elastoplast	
bathing suit	swimming costume	
bathroom	loo	
bathroom	Water closet	
beltway	ring road	
beltway's	ring road's	
beltways	ring roads	
bobby pin	hair pin	
bookstore	bookshop	
boots	wellies	
boss	gaffer	
brass knuckles	knuckle duster	
broke	skint	
bureau	chest of drawers	
business suit	lounge suite	
busy signal	engaged tone	
butt	bum	V	
caboose	guard's van	
cafeteria	refectory	
can	tin	
can's	tin's	
candy bar	chocolate bar	V	
cans	tins	
carpenter	joiner	
car battery	accumulator	V	
checkers	draughts	
checking account	current account	
chicory	endive	
chips	crisps	
cigarette	fag	
closet	cupboard	
closet's	cupboard's	
closets	cupboards	
clothespin	clothes peg	
collar button	collar stud	
comforter	eiderdown	
cookie	biscuit	
cookie's	biscuit's	
cookies	biscuits	
corn	maize	
corn's	maize's	
corns	maizes	
corn starch	corn flour	
counterclockwise	anticlockwise	
cotton candy	candy floss	
Cracker	savoury biscuit	
crazier	madder	
craziest	maddest	
crazy	mad	
cream of wheat	semolina	
cross-walk	pelican crossing	
cup of tea	cuppa	
cupcake	fairy cake	
day care center	creche	
dessert	afters	V	
detour	diversion	V	
detour's	diversion's	V	
detours	diversions	V	
diaper	nappy	
diaper's	nappy's	
diapers	nappies	
diner	cafe	V	
drug store	chemist	
drug store's	chemist's	
drug stores	chemists	
dumpster	skip	
eggplant	aubergine	
elevator	lift	V	
elevator's	lift's	V	
elevators	lifts	V	
eraser	rubber	
eraser's	rubber's	
erasers	rubbers	
exhausted	knackered	
faucet	tap	V	
faucet's	tap's	V	
faucets	taps	V	
feeble-minded	dotty	
fender	wing	V	
fender's	wing's	V	
fenders	wings	V	
flashlight	torch	V	
flashlight's	torch's	V	
flashlights	torches	V	
flat	puncture	
flat's	puncture's	
flats	punctures	
freeway's,expressway's	motorway	
freeway,expressway	motorway	
freeways,expressways	motorways	
french fries	chips	
fruit store	fruiterers'	
garbage can's	rubbish-bin's	
garbage can	rubbish-bin	
garbage cans	rubbish-bins	
garbage collector	dustman	
